Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
3,72,ARI,Leonard Pope\PopeLe00,TE,23,2012,0,0,3,6,4,103,,,,,,,,,105,982,11,7,,,Georgia,College Stats
3,73,CHI,Dusty Dvoracek\DvorDu99,DT,23,2008,0,0,1,6,6,13,,,,,,,,,,,,24,,,Oklahoma,College Stats
3,74,DET,Brian Calhoun\CalhBr00,RB,22,2007,0,0,0,1,1,11,,,,,,14,54,0,7,55,0,2,,,Wisconsin,College Stats
3,75,GNB,Jason Spitz\SpitJa20,G,23,2012,0,0,2,24,24,75,,,,,,,,,,,,2,,,Louisville,College Stats
3,76,NYJ,Anthony Schlegel\SchlAn20,LB,25,2007,0,0,0,2,0,17,,,,,,,,,,,,19,,,Ohio St.,College Stats
3,77,STL,Jon Alston\AlstJo20,LB,23,2009,0,0,0,6,0,39,,,,,,1,22,0,,,,51,,,Stanford,College Stats
3,78,CLE,Travis Wilson\WilsTr00,WR,22,2006,0,0,0,0,0,4,,,,,,,,,2,32,0,,,,Oklahoma,College Stats
3,79,ATL,Jerious Norwood\NorwJe00,RB,23,2011,0,0,0,20,20,66,0,2,0,0,1,399,2056,7,96,912,3,9,,,Mississippi St.,College Stats
3,80,JAX,Clint Ingram\IngrCl20,LB,23,2009,0,0,4,21,21,56,,,,,,,,,,,,159,2,5.5,Oklahoma,College Stats
3,81,SDG,Charlie Whitehurst\WhitCh02,QB,24,2016,0,0,0,7,0,26,219,396,2463,11,8,56,156,2,0,10,0,,,,Clemson,College Stats
3,82,MIA,Derek Hagan\HagaDe00,WR,22,2014,0,0,0,12,5,100,,,,,,,,,148,1734,7,25,,,Arizona St.,College Stats
3,83,PIT,Anthony Smith\SmitAn21,DB,23,2011,0,0,1,12,8,76,,,,,,,,,,,,144,7,,Syracuse,College Stats
3,84,SFO,Brandon Williams\WillBr01,WR,22,2007,0,0,0,0,0,23,,,,,,,,,0,0,0,1,,,Wisconsin,College Stats
3,85,KAN,Brodie Croyle\CroyBr00,QB,23,2010,0,0,0,2,2,18,181,319,1669,8,9,10,15,0,,,,1,,,Alabama,College Stats
3,86,NWE,David Thomas\ThomDa02,TE,23,2012,0,0,2,9,3,80,,,,,,,,,102,938,8,4,,,Texas,College Stats
3,87,BAL,David Pittman\PittDa99,DB,22,2007,0,0,0,1,1,7,,,,,,,,,,,,9,2,,NW State (LA),
3,88,CAR,James Anderson\AndeJa21,LB,23,2015,0,0,4,31,24,133,,,,,,,,,,,,420,3,12.0,Virginia Tech,College Stats
